,text,CaseFolding,TextClean,Tokenizing,Normalization,Stopwords
10,ngeri narsumnya ini ❤️🔥,ngeri narsumnya ini ❤️🔥,ngeri narsumnya ini,"['ngeri', 'narsumnya', 'ini']","['menakutkan', 'narsumnya', 'ini']","['menakutkan', 'narsumnya']"
11,"@fitasukiyani mantaaap kan kak, jangan lupa hadirr 🥰🥰❤️🔥","@fitasukiyani mantaaap kan kak, jangan lupa hadirr 🥰🥰❤️🔥",mantaaap kan kak jangan lupa hadirr,"['mantaaap', 'kan', 'kak', 'jangan', 'lupa', 'hadirr']","['mantaaap', 'kan', 'kakak', 'jangan', 'lupa', 'hadirr']","['mantaaap', 'kakak', 'lupa', 'hadirr']"
12,@gemilang_tirto,@gemilang_tirto,,[],[],[]
13,@whoopsy.jeffry07 ga main menkrep,@whoopsy.jeffry07 ga main menkrep,ga main menkrep,"['ga', 'main', 'menkrep']","['tidak', 'main', 'menkrep']","['main', 'menkrep']"
14,Apa ada paket yang waktu kursusnya dipercepat??,apa ada paket yang waktu kursusnya dipercepat??,apa ada paket yang waktu kursusnya dipercepat,"['apa', 'ada', 'paket', 'yang', 'waktu', 'kursusnya', 'dipercepat']","['apa', 'ada', 'paket', 'yang', 'waktu', 'kursusnya', 'dipercepat']","['paket', 'kursusnya', 'dipercepat']"
15,@bratenengah hi kak waktu pelatihan 2 hari tiap batchnya 😉,@bratenengah hi kak waktu pelatihan 2 hari tiap batchnya 😉,hi kak waktu pelatihan hari tiap batchnya,"['hi', 'kak', 'waktu', 'pelatihan', 'hari', 'tiap', 'batchnya']","['hi', 'kakak', 'waktu', 'pelatihan', 'hari', 'tiap', 'batchnya']","['hi', 'kakak', 'pelatihan', 'batchnya']"
16,Apakah lembaga ini sudah terdaftar pemerintah?,apakah lembaga ini sudah terdaftar pemerintah?,apakah lembaga ini sudah terdaftar pemerintah,"['apakah', 'lembaga', 'ini', 'sudah', 'terdaftar', 'pemerintah']","['apakah', 'lembaga', 'ini', 'sudah', 'terdaftar', 'pemerintah']","['lembaga', 'terdaftar', 'pemerintah']"
17,Sertifikatnya terdaftar di BNSP ngga? @maribelajar_id,sertifikatnya terdaftar di bnsp ngga? @maribelajar_id,sertifikatnya terdaftar di bnsp ngga,"['sertifikatnya', 'terdaftar', 'di', 'bnsp', 'ngga']","['sertifikatnya', 'terdaftar', 'di', 'bnsp', 'tidak']","['sertifikatnya', 'terdaftar', 'bnsp']"
18,Halo kak @az.khairyah perusahaan kami sudah terdaftar sebagai lembaga Pelatihan Kerja Teknologi Informasi dan Komunikasi Swasta di Indonesia 🥰,halo kak @az.khairyah perusahaan kami sudah terdaftar sebagai lembaga pelatihan kerja teknologi informasi dan komunikasi swasta di indonesia 🥰,halo kak perusahaan kami sudah terdaftar sebagai lembaga pelatihan kerja teknologi informasi dan komunikasi swasta di indonesia,"['halo', 'kak', 'perusahaan', 'kami', 'sudah', 'terdaftar', 'sebagai', 'lembaga', 'pelatihan', 'kerja', 'teknologi', 'informasi', 'dan', 'komunikasi', 'swasta', 'di', 'indonesia']","['halo', 'kakak', 'perusahaan', 'kami', 'sudah', 'terdaftar', 'sebagai', 'lembaga', 'pelatihan', 'kerja', 'teknologi', 'informasi', 'dan', 'komunikasi', 'swasta', 'di', 'indonesia']","['halo', 'kakak', 'perusahaan', 'terdaftar', 'lembaga', 'pelatihan', 'kerja', 'teknologi', 'informasi', 'komunikasi', 'swasta', 'indonesia']"
19,"Apakah power bi dipakai untuk penelitian kualitatif. Wawancara. Menyusun makna dll, mengukur kepuasan tamu secara kualitatif?","apakah power bi dipakai untuk penelitian kualitatif. wawancara. menyusun makna dll, mengukur kepuasan tamu secara kualitatif?",apakah power bi dipakai untuk penelitian kualitatif wawancara menyusun makna dll mengukur kepuasan tamu secara kualitatif,"['apakah', 'power', 'bi', 'dipakai', 'untuk', 'penelitian', 'kualitatif', 'wawancara', 'menyusun', 'makna', 'dll', 'mengukur', 'kepuasan', 'tamu', 'secara', 'kualitatif']","['apakah', 'power', 'bi', 'dipakai', 'untuk', 'penelitian', 'kualitatif', 'wawancara', 'menyusun', 'makna', 'dll', 'mengukur', 'kepuasan', 'tamu', 'secara', 'kualitatif']","['power', 'bi', 'dipakai', 'penelitian', 'kualitatif', 'wawancara', 'menyusun', 'makna', 'dll', 'mengukur', 'kepuasan', 'tamu', 'kualitatif']"
20,Saya udah 2x coba daftar koq ndak adacemail yg masuk yaa,saya udah 2x coba daftar koq ndak adacemail yg masuk yaa,saya udah  coba daftar koq ndak adacemail yg masuk yaa,"['saya', 'udah', 'coba', 'daftar', 'koq', 'ndak', 'adacemail', 'yg', 'masuk', 'yaa']","['saya', 'sudah', 'coba', 'daftar', 'koq', 'tidak', 'adacemail', 'yang', 'masuk', 'iya']","['coba', 'daftar', 'koq', 'adacemail', 'masuk', 'iya']"
21,"Bisa kak @samerdantasinulingga,  analisis kualitatif dengan power BI, dapat menggunakan text analysts, dan pengukuran feedback dari tamu dapat menggunakan sentiment analysis di power BI contohnya pengukuran feedback positif atau negatif. Untuk pembelajaran lebih jelasnya yuk daftar dan ikuti webinar Analisis data dengan Power Bi 😉. Kami tunggu kehadirannya kak","bisa kak @samerdantasinulingga,  analisis kualitatif dengan power bi, dapat menggunakan text analysts, dan pengukuran feedback dari tamu dapat menggunakan sentiment analysis di power bi contohnya pengukuran feedback positif atau negatif. untuk pembelajaran lebih jelasnya yuk daftar dan ikuti webinar analisis data dengan power bi 😉. kami tunggu kehadirannya kak",bisa kak analisis kualitatif dengan power bi dapat menggunakan text analysts dan pengukuran feedback dari tamu dapat menggunakan sentiment analysis di power bi contohnya pengukuran feedback positif atau negatif untuk pembelajaran lebih jelasnya yuk daftar dan ikuti webinar analisis data dengan power bi kami tunggu kehadirannya kak,"['bisa', 'kak', 'analisis', 'kualitatif', 'dengan', 'power', 'bi', 'dapat', 'menggunakan', 'text', 'analysts', 'dan', 'pengukuran', 'feedback', 'dari', 'tamu', 'dapat', 'menggunakan', 'sentiment', 'analysis', 'di', 'power', 'bi', 'contohnya', 'pengukuran', 'feedback', 'positif', 'atau', 'negatif', 'untuk', 'pembelajaran', 'lebih', 'jelasnya', 'yuk', 'daftar', 'dan', 'ikuti', 'webinar', 'analisis', 'data', 'dengan', 'power', 'bi', 'kami', 'tunggu', 'kehadirannya', 'kak']","['bisa', 'kakak', 'analisis', 'kualitatif', 'dengan', 'power', 'bi', 'dapat', 'menggunakan', 'text', 'analysts', 'dan', 'pengukuran', 'feedback', 'dari', 'tamu', 'dapat', 'menggunakan', 'sentiment', 'analysis', 'di', 'power', 'bi', 'contohnya', 'pengukuran', 'feedback', 'positif', 'atau', 'negatif', 'untuk', 'pembelajaran', 'lebih', 'jelasnya', 'ayo', 'daftar', 'dan', 'ikuti', 'webinar', 'analisis', 'data', 'dengan', 'power', 'bi', 'kami', 'tunggu', 'kehadirannya', 'kakak']","['kakak', 'analisis', 'kualitatif', 'power', 'bi', 'text', 'analysts', 'pengukuran', 'feedback', 'tamu', 'sentiment', 'analysis', 'power', 'bi', 'contohnya', 'pengukuran', 'feedback', 'positif', 'negatif', 'pembelajaran', 'ayo', 'daftar', 'ikuti', 'webinar', 'analisis', 'data', 'power', 'bi', 'tunggu', 'kehadirannya', 'kakak']"
22,"Hi kak @ad.hi3515, mohon maaf atas ketidak nyamanannya. Apabila tidak masuk pada kotak masuk email, tim kami juga mengirimkan via whatsapp. Mohon untuk dapat diperiksa ya kak. Terima kasih 😉","hi kak @ad.hi3515, mohon maaf atas ketidak nyamanannya. apabila tidak masuk pada kotak masuk email, tim kami juga mengirimkan via whatsapp. mohon untuk dapat diperiksa ya kak. terima kasih 😉",hi kak mohon maaf atas ketidak nyamanannya apabila tidak masuk pada kotak masuk email tim kami juga mengirimkan via whatsapp mohon untuk dapat diperiksa ya kak terima kasih,"['hi', 'kak', 'mohon', 'maaf', 'atas', 'ketidak', 'nyamanannya', 'apabila', 'tidak', 'masuk', 'pada', 'kotak', 'masuk', 'email', 'tim', 'kami', 'juga', 'mengirimkan', 'via', 'whatsapp', 'mohon', 'untuk', 'dapat', 'diperiksa', 'ya', 'kak', 'terima', 'kasih']","['hi', 'kakak', 'mohon', 'maaf', 'atas', 'ketidak', 'nyamanannya', 'apabila', 'tidak', 'masuk', 'pada', 'kotak', 'masuk', 'email', 'tim', 'kami', 'juga', 'mengirimkan', 'via', 'whatsapp', 'mohon', 'untuk', 'dapat', 'diperiksa', 'ya', 'kakak', 'terima', 'kasih']","['hi', 'kakak', 'mohon', 'maaf', 'ketidak', 'nyamanannya', 'masuk', 'kotak', 'masuk', 'email', 'tim', 'mengirimkan', 'via', 'whatsapp', 'mohon', 'diperiksa', 'kakak', 'terima', 'kasih']"
23,Udah masuk di WA dan sy udah bayar,udah masuk di wa dan sy udah bayar,udah masuk di wa dan sy udah bayar,"['udah', 'masuk', 'di', 'wa', 'dan', 'sy', 'udah', 'bayar']","['sudah', 'masuk', 'di', 'wa', 'dan', 'saya', 'sudah', 'bayar']","['masuk', 'wa', 'bayar']"
24,"@maribelajar_id bagus wa saja biar intens dan betul betul, website webiste tak jelas. Ada wa nya??","@maribelajar_id bagus wa saja biar intens dan betul betul, website webiste tak jelas. ada wa nya??",bagus wa saja biar intens dan betul betul website webiste tak jelas ada wa nya,"['bagus', 'wa', 'saja', 'biar', 'intens', 'dan', 'betul', 'betul', 'website', 'webiste', 'tak', 'jelas', 'ada', 'wa', 'nya']","['bagus', 'wa', 'saja', 'biar', 'intens', 'dan', 'betul', 'betul', 'website', 'webiste', 'tak', 'jelas', 'ada', 'wa', 'nya']","['bagus', 'wa', 'intens', 'website', 'webiste', 'wa']"
25,Kpn ad lagi,kpn ad lagi,kpn ad lagi,"['kpn', 'ad', 'lagi']","['kapan', 'ada', 'lagi']",[]
26,"@doni.indraaa hi kak tunggu postingan kami selanjutnya ya, turn on notifications agar tidak terlewat 😉","@doni.indraaa hi kak tunggu postingan kami selanjutnya ya, turn on notifications agar tidak terlewat 😉",hi kak tunggu postingan kami selanjutnya ya turn on notifications agar tidak terlewat,"['hi', 'kak', 'tunggu', 'postingan', 'kami', 'selanjutnya', 'ya', 'turn', 'on', 'notifications', 'agar', 'tidak', 'terlewat']","['hi', 'kakak', 'tunggu', 'unggahan', 'kami', 'selanjutnya', 'ya', 'turn', 'on', 'notifications', 'agar', 'tidak', 'terlewat']","['hi', 'kakak', 'tunggu', 'unggahan', 'turn', 'on', 'notifications', 'terlewat']"
27,😢,😢,,[],[],[]
28,Yah udh abis kuota aku,yah udh abis kuota aku,yah udh abis kuota aku,"['yah', 'udh', 'abis', 'kuota', 'aku']","['ya', 'sudah', 'habis', 'kuota', 'aku']","['habis', 'kuota']"
29,dapet uang saku gak min?,dapet uang saku gak min?,dapet uang saku gak min,"['dapet', 'uang', 'saku', 'gak', 'min']","['dapat', 'uang', 'saku', 'tidak', 'min']","['uang', 'saku', 'min']"
30,"izin tanya min, untuk jadwal pembelajarannya bagaimana ya ?","izin tanya min, untuk jadwal pembelajarannya bagaimana ya ?",izin tanya min untuk jadwal pembelajarannya bagaimana ya,"['izin', 'tanya', 'min', 'untuk', 'jadwal', 'pembelajarannya', 'bagaimana', 'ya']","['izin', 'tanya', 'min', 'untuk', 'jadwal', 'pembelajarannya', 'bagaimana', 'ya']","['izin', 'min', 'jadwal', 'pembelajarannya']"
31,Offering mitranya kira² tanggal berapa ya kak?,offering mitranya kira² tanggal berapa ya kak?,offering mitranya kira tanggal berapa ya kak,"['offering', 'mitranya', 'kira', 'tanggal', 'berapa', 'ya', 'kak']","['offering', 'mitranya', 'kira', 'tanggal', 'berapa', 'ya', 'kakak']","['offering', 'mitranya', 'tanggal', 'kakak']"
32,"Ini udah pengumuman belum ya?di status pendaftatanku belum berubah masih""sudah daftar""","ini udah pengumuman belum ya?di status pendaftatanku belum berubah masih""sudah daftar""",ini udah pengumuman belum yadi status pendaftatanku belum berubah masihsudah daftar,"['ini', 'udah', 'pengumuman', 'belum', 'yadi', 'status', 'pendaftatanku', 'belum', 'berubah', 'masihsudah', 'daftar']","['ini', 'sudah', 'pengumuman', 'belum', 'yadi', 'status', 'pendaftatanku', 'belum', 'berubah', 'masihsudah', 'daftar']","['pengumuman', 'yadi', 'status', 'pendaftatanku', 'berubah', 'masihsudah', 'daftar']"
33,"Ayok bismillah bisa maribelajar proses pendaftarankuu,biar bisa keterima disiniii","ayok bismillah bisa maribelajar proses pendaftarankuu,biar bisa keterima disiniii",ayok bismillah bisa maribelajar proses pendaftarankuubiar bisa keterima disiniii,"['ayok', 'bismillah', 'bisa', 'maribelajar', 'proses', 'pendaftarankuubiar', 'bisa', 'keterima', 'disiniii']","['ayo', 'bismillah', 'bisa', 'maribelajar', 'proses', 'pendaftarankuubiar', 'bisa', 'keterima', 'disiniii']","['ayo', 'bismillah', 'maribelajar', 'proses', 'pendaftarankuubiar', 'keterima', 'disiniii']"
34,Apakah sudah ada grup belajarnya kak?,apakah sudah ada grup belajarnya kak?,apakah sudah ada grup belajarnya kak,"['apakah', 'sudah', 'ada', 'grup', 'belajarnya', 'kak']","['apakah', 'sudah', 'ada', 'kelompok', 'belajarnya', 'kakak']","['kelompok', 'belajarnya', 'kakak']"
35,Ada  uang bantuan uang saku kak ?,ada  uang bantuan uang saku kak ?,ada uang bantuan uang saku kak,"['ada', 'uang', 'bantuan', 'uang', 'saku', 'kak']","['ada', 'uang', 'bantuan', 'uang', 'saku', 'kakak']","['uang', 'bantuan', 'uang', 'saku', 'kakak']"
36,@jrbjrb658 lolos ga kak?,@jrbjrb658 lolos ga kak?,lolos ga kak,"['lolos', 'ga', 'kak']","['lolos', 'tidak', 'kakak']","['lolos', 'kakak']"
37,@agusspresley lolos kak?,@agusspresley lolos kak?,lolos kak,"['lolos', 'kak']","['lolos', 'kakak']","['lolos', 'kakak']"
38,@ikhwanzbkhi lolos bang,@ikhwanzbkhi lolos bang,lolos bang,"['lolos', 'bang']","['lolos', 'kakak']","['lolos', 'kakak']"
39,@agusspresley ngambil apa bang?,@agusspresley ngambil apa bang?,ngambil apa bang,"['ngambil', 'apa', 'bang']","['mengambil', 'apa', 'kakak']","['mengambil', 'kakak']"
40,@ikhwanzbkhi microsoft platform developer,@ikhwanzbkhi microsoft platform developer,microsoft platform developer,"['microsoft', 'platform', 'developer']","['microsoft', 'platform', 'developer']","['microsoft', 'platform', 'developer']"
41,@agusspresley pengumuman nya dimana kak?,@agusspresley pengumuman nya dimana kak?,pengumuman nya dimana kak,"['pengumuman', 'nya', 'dimana', 'kak']","['pengumuman', 'nya', 'dimana', 'kakak']","['pengumuman', 'dimana', 'kakak']"
42,"@saddam_alyudin di gmail juga ada kok, kalo ga cek di web kampus merdeka nya bang","@saddam_alyudin di gmail juga ada kok, kalo ga cek di web kampus merdeka nya bang",di gmail juga ada kok kalo ga cek di web kampus merdeka nya bang,"['di', 'gmail', 'juga', 'ada', 'kok', 'kalo', 'ga', 'cek', 'di', 'web', 'kampus', 'merdeka', 'nya', 'bang']","['di', 'gmail', 'juga', 'ada', 'kok', 'kalo', 'tidak', 'cek', 'di', 'web', 'kampus', 'merdeka', 'nya', 'kakak']","['gmail', 'cek', 'web', 'kampus', 'merdeka', 'kakak']"
43,@agusspresley wah samaa kak😃,@agusspresley wah samaa kak😃,wah samaa kak,"['wah', 'samaa', 'kak']","['wah', 'samaa', 'kakak']","['samaa', 'kakak']"
44,@sodonewith__ udah ada info info lagi gaa atau grup wa gitu?,@sodonewith__ udah ada info info lagi gaa atau grup wa gitu?,udah ada info info lagi gaa atau grup wa gitu,"['udah', 'ada', 'info', 'info', 'lagi', 'gaa', 'atau', 'grup', 'wa', 'gitu']","['sudah', 'ada', 'info', 'info', 'lagi', 'tidak', 'atau', 'kelompok', 'wa', 'begitu']","['info', 'info', 'kelompok', 'wa']"
45,"@agusspresley beluum kak:"")","@agusspresley beluum kak:"")",beluum kak,"['beluum', 'kak']","['beluum', 'kakak']","['beluum', 'kakak']"
46,@sodonewith__ kata adminnya segala informasi bakal d sampein d wa/email. Dn blm ada grup officialnya gtu,@sodonewith__ kata adminnya segala informasi bakal d sampein d wa/email. dn blm ada grup officialnya gtu,kata adminnya segala informasi bakal  sampein  waemail dn blm ada grup officialnya gtu,"['kata', 'adminnya', 'segala', 'informasi', 'bakal', 'sampein', 'waemail', 'dn', 'blm', 'ada', 'grup', 'officialnya', 'gtu']","['kata', 'adminnya', 'segala', 'informasi', 'bakal', 'sampein', 'waemail', 'dan', 'belum', 'ada', 'kelompok', 'officialnya', 'begitu']","['adminnya', 'informasi', 'sampein', 'waemail', 'kelompok', 'officialnya']"
47,"Mau tanya, ada yang udah lolos msib 5 ga terus ambil tawaran di mari belajar Microsoft ini?","mau tanya, ada yang udah lolos msib 5 ga terus ambil tawaran di mari belajar microsoft ini?",mau tanya ada yang udah lolos msib ga terus ambil tawaran di mari belajar microsoft ini,"['mau', 'tanya', 'ada', 'yang', 'udah', 'lolos', 'msib', 'ga', 'terus', 'ambil', 'tawaran', 'di', 'mari', 'belajar', 'microsoft', 'ini']","['mau', 'tanya', 'ada', 'yang', 'sudah', 'lolos', 'msib', 'tidak', 'terus', 'ambil', 'tawaran', 'di', 'mari', 'belajar', 'microsoft', 'ini']","['lolos', 'msib', 'ambil', 'tawaran', 'mari', 'belajar', 'microsoft']"
48,@sodonewith__ udah ada kak itu grup wa nya coba cek,@sodonewith__ udah ada kak itu grup wa nya coba cek,udah ada kak itu grup wa nya coba cek,"['udah', 'ada', 'kak', 'itu', 'grup', 'wa', 'nya', 'coba', 'cek']","['sudah', 'ada', 'kakak', 'itu', 'kelompok', 'wa', 'nya', 'coba', 'cek']","['kakak', 'kelompok', 'wa', 'coba', 'cek']"
49,@intananggi15 aku udah lolos kak,@intananggi15 aku udah lolos kak,aku udah lolos kak,"['aku', 'udah', 'lolos', 'kak']","['aku', 'sudah', 'lolos', 'kakak']","['lolos', 'kakak']"
50,wahh keren banget kak ❤️,wahh keren banget kak ❤️,wahh keren banget kak,"['wahh', 'keren', 'banget', 'kak']","['wahh', 'keren', 'banget', 'kakak']","['wahh', 'keren', 'banget', 'kakak']"
51,Wah mantab. Baru tau👍👍,wah mantab. baru tau👍👍,wah mantab baru tau,"['wah', 'mantab', 'baru', 'tau']","['wah', 'mantab', 'baru', 'tau']",['mantab']
52,Izin kami share kk,izin kami share kk,izin kami share kk,"['izin', 'kami', 'share', 'kk']","['izin', 'kami', 'share', 'kakak']","['izin', 'share', 'kakak']"
53,@info.pelatihangratis silakan kak 😊🙏,@info.pelatihangratis silakan kak 😊🙏,silakan kak,"['silakan', 'kak']","['silakan', 'kakak']","['silakan', 'kakak']"
54,Kereeen 🙌🏼✨,kereeen 🙌🏼✨,kereeen,['kereeen'],['kereeen'],['kereeen']
55,"Selamat ya maribelajar, bangga sebagai bagian dari mentee maribelajar batch ke dua 👏","selamat ya maribelajar, bangga sebagai bagian dari mentee maribelajar batch ke dua 👏",selamat ya maribelajar bangga sebagai bagian dari mentee maribelajar batch ke dua,"['selamat', 'ya', 'maribelajar', 'bangga', 'sebagai', 'bagian', 'dari', 'mentee', 'maribelajar', 'batch', 'ke', 'dua']","['selamat', 'ya', 'maribelajar', 'bangga', 'sebagai', 'bagian', 'dari', 'mentee', 'maribelajar', 'batch', 'ke', 'dua']","['selamat', 'maribelajar', 'bangga', 'mentee', 'maribelajar', 'batch']"
56,"@varifz terima kasih kak telah menjadi bagian kami, belajar dan bertumbuh bersama kami 🙏","@varifz terima kasih kak telah menjadi bagian kami, belajar dan bertumbuh bersama kami 🙏",terima kasih kak telah menjadi bagian kami belajar dan bertumbuh bersama kami,"['terima', 'kasih', 'kak', 'telah', 'menjadi', 'bagian', 'kami', 'belajar', 'dan', 'bertumbuh', 'bersama', 'kami']","['terima', 'kasih', 'kakak', 'telah', 'menjadi', 'bagian', 'kami', 'belajar', 'dan', 'bertumbuh', 'bersama', 'kami']","['terima', 'kasih', 'kakak', 'belajar', 'bertumbuh']"
57,@frjuliaa terima kasih kak🙏,@frjuliaa terima kasih kak🙏,terima kasih kak,"['terima', 'kasih', 'kak']","['terima', 'kasih', 'kakak']","['terima', 'kasih', 'kakak']"
58,❤️,❤️,,[],[],[]
59,Mbak Ningggg❤️❤️❤️❤️,mbak ningggg❤️❤️❤️❤️,mbak ningggg,"['mbak', 'ningggg']","['mbak', 'ningggg']","['mbak', 'ningggg']"
60,Min offline dong😂🙌 @maribelajar_id,min offline dong😂🙌 @maribelajar_id,min offline dong,"['min', 'offline', 'dong']","['min', 'offline', 'dong']","['min', 'offline']"
61,What Language is it??,what language is it??,what language is it,"['what', 'language', 'is', 'it']","['what', 'language', 'is', 'it']","['what', 'language', 'is', 'it']"
62,@theradlifavaiaoo2 Indonesian,@theradlifavaiaoo2 indonesian,indonesian,['indonesian'],['indonesian'],['indonesian']
63,cek dm @maribelajar_id,cek dm @maribelajar_id,cek dm,"['cek', 'dm']","['cek', 'pesan']","['cek', 'pesan']"
64,@agil._._ done kak 😉,@agil._._ done kak 😉,done kak,"['done', 'kak']","['done', 'kakak']","['done', 'kakak']"
65,cek dm min,cek dm min,cek dm min,"['cek', 'dm', 'min']","['cek', 'pesan', 'min']","['cek', 'pesan', 'min']"
66,cek dm @maribelajar_id,cek dm @maribelajar_id,cek dm,"['cek', 'dm']","['cek', 'pesan']","['cek', 'pesan']"
67,Cek dm kak pls @maribelajar_id,cek dm kak pls @maribelajar_id,cek dm kak pls,"['cek', 'dm', 'kak', 'pls']","['cek', 'pesan', 'kakak', 'mohon']","['cek', 'pesan', 'kakak', 'mohon']"
68,Kalau boleh tau pengumuman lolos studi independen kapan ya min?,kalau boleh tau pengumuman lolos studi independen kapan ya min?,kalau boleh tau pengumuman lolos studi independen kapan ya min,"['kalau', 'boleh', 'tau', 'pengumuman', 'lolos', 'studi', 'independen', 'kapan', 'ya', 'min']","['kalau', 'boleh', 'tau', 'pengumuman', 'lolos', 'studi', 'independen', 'kapan', 'ya', 'min']","['pengumuman', 'lolos', 'studi', 'independen', 'min']"
69,"@hasanah_14901 hi dear, pengumuman penerimaan melalui platform kampus merdeka pada tanggal 4-11 Februari 2023. Mohon cek akun secara berkala","@hasanah_14901 hi dear, pengumuman penerimaan melalui platform kampus merdeka pada tanggal 4-11 februari 2023. mohon cek akun secara berkala",hi dear pengumuman penerimaan melalui platform kampus merdeka pada tanggal februari mohon cek akun secara berkala,"['hi', 'dear', 'pengumuman', 'penerimaan', 'melalui', 'platform', 'kampus', 'merdeka', 'pada', 'tanggal', 'februari', 'mohon', 'cek', 'akun', 'secara', 'berkala']","['hi', 'dear', 'pengumuman', 'penerimaan', 'melalui', 'platform', 'kampus', 'merdeka', 'pada', 'tanggal', 'februari', 'mohon', 'cek', 'akun', 'secara', 'berkala']","['hi', 'dear', 'pengumuman', 'penerimaan', 'platform', 'kampus', 'merdeka', 'tanggal', 'februari', 'mohon', 'cek', 'akun', 'berkala']"
70,@rafid_ikbar done kak,@rafid_ikbar done kak,done kak,"['done', 'kak']","['done', 'kakak']","['done', 'kakak']"
71,@agil._._ sudah kak 😉,@agil._._ sudah kak 😉,sudah kak,"['sudah', 'kak']","['sudah', 'kakak']",['kakak']
72,@muhammadfahridy done kak,@muhammadfahridy done kak,done kak,"['done', 'kak']","['done', 'kakak']","['done', 'kakak']"
